indic,s_adj,geo\time	2020M07 	2020M08 	2020M09 	2020M10 	2020M11 	2020M12 	2021M01 	2021M02 	2021M03 	2021M04 	2021M05 	2021M06 
BS-ESI-I,SA,AL	90.8 	83.2 	88.4 	95.9 	87.4 	88.3 	90.8 	97.4 	91.7 	108.3 	102.7 	106.7 
BS-ESI-I,SA,AT	84.7 	88.8 	91.1 	89.4 	83.6 	90.9 	88.7 	92.0 	105.2 	113.5 	118.0 	125.3 
BS-ESI-I,SA,BE	80.4 	86.0 	91.0 	93.5 	90.9 	95.3 	98.7 	98.3 	103.6 	114.8 	116.4 	120.0 
BS-ESI-I,SA,BG	77.7 	78.3 	83.2 	83.0 	81.0 	79.1 	81.1 	83.5 	89.5 	98.0 	98.2 	100.6 
BS-ESI-I,SA,CY	83.2 	85.0 	83.6 	83.1 	83.2 	85.7 	79.8 	80.8 	84.7 	93.2 	100.6 	105.0 
BS-ESI-I,SA,CZ	85.7 	84.9 	88.8 	84.6 	77.1 	84.9 	83.9 	87.2 	83.3 	94.6 	99.4 	106.1 
BS-ESI-I,SA,DE	89.1 	94.9 	96.1 	97.6 	94.9 	95.1 	92.8 	95.8 	103.7 	109.4 	112.2 	117.2 
BS-ESI-I,SA,DK	83.6 	84.0 	86.5 	89.8 	88.2 	96.7 	94.1 	92.6 	99.1 	111.9 	114.6 	114.0 
BS-ESI-I,SA,EA19	84.2 	89.1 	92.3 	92.5 	89.3 	92.4 	91.5 	93.4 	100.9 	110.5 	114.5 	117.9 
BS-ESI-I,SA,EE	83.2 	86.3 	89.2 	92.3 	91.1 	94.1 	96.0 	96.8 	94.0 	102.9 	107.5 	108.0 
BS-ESI-I,SA,EL	91.1 	91.0 	89.8 	92.5 	91.2 	91.8 	90.7 	91.9 	96.9 	97.9 	108.6 	108.7 
BS-ESI-I,SA,ES	91.4 	88.9 	90.6 	90.3 	88.5 	91.5 	93.9 	90.7 	96.9 	106.0 	108.3 	107.2 
BS-ESI-I,SA,EU27_2020	83.7 	88.4 	91.5 	91.7 	88.6 	91.6 	91.1 	93.1 	99.9 	109.9 	114.0 	117.0 
BS-ESI-I,SA,FI	87.7 	85.4 	84.0 	86.8 	88.2 	90.7 	95.6 	93.6 	96.6 	109.8 	110.4 	114.8 
BS-ESI-I,SA,FR	84.3 	92.4 	96.1 	93.0 	88.5 	92.8 	90.1 	91.3 	96.2 	105.8 	110.9 	112.2 
BS-ESI-I,SA,HR	85.7 	92.8 	90.6 	90.4 	88.0 	88.8 	90.2 	94.1 	99.7 	103.5 	106.6 	108.1 
BS-ESI-I,SA,HU	85.8 	86.5 	88.0 	86.9 	82.3 	86.3 	90.1 	89.3 	91.1 	98.9 	103.9 	105.2 
BS-ESI-I,SA,IE	82.4 	86.9 	90.6 	86.9 	91.9 	92.5 	87.7 	90.9 	97.6 	110.0 	111.3 	111.8 
BS-ESI-I,SA,IT	79.8 	82.3 	90.5 	91.3 	83.1 	89.8 	90.2 	94.6 	99.5 	104.8 	115.8 	117.9 
BS-ESI-I,SA,LT	92.8 	94.8 	97.5 	99.8 	96.0 	96.2 	99.1 	101.9 	103.4 	108.2 	111.6 	110.1 
BS-ESI-I,SA,LU	99.0 	98.9 	96.9 	105.5 	98.8 	105.2 	107.0 	105.4 	105.9 	116.5 	120.2 	121.9 
BS-ESI-I,SA,LV	88.5 	91.8 	95.1 	93.1 	91.3 	89.0 	87.2 	88.5 	90.7 	101.7 	104.2 	105.6 
BS-ESI-I,SA,ME	61.4 	77.7 	84.2 	77.7 	74.4 	73.8 	81.2 	83.3 	77.7 	91.9 	105.1 	108.9 
BS-ESI-I,SA,MK	68.1 	71.7 	72.4 	68.8 	66.7 	67.8 	80.3 	77.2 	77.0 	83.4 	88.5 	91.7 
BS-ESI-I,SA,MT	72.8 	81.9 	88.8 	84.6 	76.4 	85.4 	85.8 	88.1 	95.0 	117.3 	115.2 	113.5 
BS-ESI-I,SA,NL	83.7 	90.8 	93.0 	91.0 	92.0 	94.2 	94.8 	93.5 	97.9 	108.6 	111.8 	113.7 
BS-ESI-I,SA,PL	76.6 	82.6 	84.0 	85.5 	78.2 	83.5 	82.3 	87.0 	90.3 	101.6 	106.7 	106.9 
BS-ESI-I,SA,PT	86.8 	87.8 	88.9 	90.3 	86.3 	87.8 	87.4 	85.5 	93.1 	104.0 	111.4 	110.6 
BS-ESI-I,SA,RO	84.8 	88.8 	90.8 	89.0 	85.6 	87.2 	89.9 	90.8 	91.3 	101.5 	104.1 	102.6 
BS-ESI-I,SA,RS	87.8 	87.9 	92.8 	97.4 	88.4 	87.3 	95.4 	97.4 	90.6 	104.4 	108.9 	109.3 
BS-ESI-I,SA,SE	87.2 	90.1 	95.3 	96.3 	97.1 	96.8 	101.8 	104.9 	106.7 	117.5 	122.6 	120.8 
BS-ESI-I,SA,SI	88.5 	94.9 	96.7 	92.8 	85.8 	89.0 	90.7 	94.7 	98.6 	106.1 	109.3 	108.1 
BS-ESI-I,SA,SK	85.7 	90.0 	87.9 	89.3 	87.0 	87.9 	83.3 	79.2 	84.7 	103.3 	98.4 	103.4 
BS-ESI-I,SA,TR	85.1 	89.5 	91.5 	95.0 	91.4 	91.2 	92.5 	89.7 	93.2 	99.7 	94.9 	95.9 
BS-ESI-I,SA,UK	78.9 	78.6 	85.9 	87.4 	81.5 	87.1 	: 	: 	: 	: 	: 	: 
